N|659000|335|150
N|1176000|245|150
N|1347000|715|150
N|1520000|643|150
N|1693000|723|150
N|1865000|828|150
N|2215000|753|150
N|2382000|480|150
N|2727000|543|150
N|2900000|245|150
N|3072000|450|150
N|3241500|0|150
N|3762000|260|150
N|4106000|333|150
N|4279000|495|150
N|4451500|323|150
N|4621500|515|150
N|4969000|243|150
N|5141500|708|150
N|5486000|663|150
N|5658000|465|150
N|5830000|755|150
N|6003000|223|150
N|6520000|373|150
N|6865000|583|150
N|7037000|670|150
N|7215000|545|150
N|7382000|755|150
N|7727000|548|150
N|7900000|160|150
N|8241500|425|150
S|8503000|98|150|8589000|98
N|8762000|675|150
N|9106000|320|150
N|9279000|530|150
N|9621500|608|150
N|9796000|885|150
N|9969000|838|150
N|10141500|595|150
N|10486000|1015|150
N|10658000|938|150
N|11503000|1145|150
S|11175000|705|150|11693000|275
N|11865000|558|150
N|11951500|558|150
N|12037000|558|150
N|12382000|335|150
S|12641500|590|150|12727000|590
N|12900000|155|150
N|13241500|555|150
N|13417000|470|150
N|13762000|765|150
S|14020000|345|150|14106000|345
N|14279000|310|150
N|14451500|163|150
N|14621500|515|150
S|14796000|148|150|15141500|148
N|15227000|200|150
N|15313000|285|150
N|15399000|378|150
N|15485000|463|150
N|15658000|610|150
N|16003000|690|150
N|16175000|380|150
N|16520000|790|150
S|16779000|568|150|16865000|568
N|17037000|970|150
N|17382000|735|150
N|17468000|755|150
N|17555000|775|150
N|17727000|1045|150
N|17900000|500|150
N|18241500|350|150
N|18417000|503|150
N|18589000|745|150
N|18931500|740|150
N|19279000|320|150
N|19621500|670|150
N|19796000|335|150
N|19969000|653|150
N|20313000|870|150
N|20658000|473|150
N|20831500|663|150
N|21503000|600|150
N|21176000|503|150
N|21348000|750|150
N|21520000|453|150
N|21693000|688|150
N|21865000|623|150
N|22038000|460|150
N|22215000|788|150
N|22382000|410|150
N|22555000|690|150
N|22727000|613|150
N|22900000|338|150
N|22986000|358|150
N|23072000|378|150
N|23416000|868|150
N|23588000|765|150
N|23760000|828|150
N|23933000|1025|150
N|24019000|1025|150
N|24105000|1025|150
N|24278000|1243|150
N|24450000|1025|150
N|24536000|938|150
N|24622000|873|150
N|24708000|838|150
N|24791500|843|150
N|24967000|673|150
N|25115000|450|150
N|25312000|235|150
N|25398000|235|150
N|25481500|235|150
N|25657000|88|150
N|25829000|303|150
N|25915000|355|150
N|26001500|375|150
N|26087000|358|150
N|26171500|303|150
N|26347000|515|150
N|26519000|738|150
N|26691500|930|150
N|26778000|930|150
N|26861500|930|150
N|27036000|1058|150
N|27209000|865|150
N|27295000|828|150
N|27381500|818|150
N|27467000|840|150
N|27553000|888|150
N|27726000|665|150
N|27898000|438|150
N|28071500|223|150
N|28157000|223|150
N|28243000|223|150
N|28416000|38|150
S|28588000|888|150|28933000|888
N|29105000|668|150
N|29278000|445|150
S|29536000|333|150|29622000|333
N|29795000|143|150
N|29967000|213|150
N|30053000|303|150
N|30139000|390|150
N|30215000|455|150
N|30312000|480|150
N|30481500|663|150
N|30657000|275|150
S|30916000|778|150|31502000|778
N|31171500|338|150
N|31347000|643|150
N|31433000|713|150
N|31519000|760|150
N|31605000|783|150
N|31691500|778|150
N|31861500|480|150
N|32036000|1025|150
S|32295000|518|150|32381500|518
N|32553000|1030|150
N|32726000|830|150
N|32812000|920|150
N|32898000|1030|150
N|32981500|1140|150
N|33071500|1228|150
N|33243000|818|150
N|33416000|1030|150
N|33671500|1030|150
N|33760000|1030|150
N|33933000|698|150
N|34105000|1230|150
N|34450000|468|150
N|34622000|330|150
N|34795000|658|150
N|34967000|140|150
N|35053000|140|150
N|35115000|140|150
N|35312000|438|150
N|35481500|360|150
N|35657000|658|150
N|35829000|835|150
N|36002000|1165|150
N|36171500|620|150
N|36347000|1075|150
N|36433000|1075|150
N|36519000|1075|150
N|36691500|905|150
N|36861500|980|150
N|36950000|1108|150
N|37036000|1223|150
N|37122000|1280|150
N|37209000|1255|150
N|37381500|980|150
N|37553000|675|150
S|37812000|1255|150|37898000|1255
N|38071500|753|150
N|38243000|630|150
N|38329000|538|150
N|38415000|445|150
N|38501500|353|150
N|38588000|260|150
N|38760000|738|150
N|38933000|260|150
N|39105000|640|150
N|39191500|640|150
N|39278000|640|150
N|39450000|1018|150
S|39622000|1015|150|39969000|1015
N|40313000|428|150
N|40658000|243|150
N|41503000|523|150
N|41348000|340|150
N|41693000|328|150
N|42037000|433|150
N|42215000|368|150
N|42382000|768|150
N|42555000|880|150
S|42726000|675|150|43503000|700
N|43675000|703|150
N|43761500|705|150
N|43848000|708|150
N|43931500|708|150
N|44020000|705|150
N|44106000|703|150
N|44796000|28|150
N|44968000|173|150
N|45115000|28|150
N|45313000|173|150
N|45486000|598|150
S|46089000|513|150|46175000|513
S|46433000|843|150|46519000|843
S|46778000|510|150|46865000|510
S|47123000|840|150|47209000|840
S|47551500|188|150|47727000|185
N|47899000|125|150
S|48241500|1033|150|48330000|1033
