659,335
1176,245
1347,715
1520,643
1693,723
1865,828
2210,753
2382,480
2727,543
2900,245
3072,450
3244,0
3762,260
4106,333
4279,495
4451,323
4624,515
4969,243
5141,708
5486,663
5658,465
5830,755
6003,223
6520,373
6865,583
7037,670
7210,545
7382,755
7727,548
7900,160
8244,425
8503,98
8589,98
8762,675
9106,320
9279,530
9624,608
9796,885
9969,838
10141,595
10486,1015
10658,938
11003,1145
11175,705
11262,633
11348,560
11434,488
11520,415
11606,343
11693,275
11865,558
11951,558
12037,558
12382,335
12641,590
12727,590
12900,155
13244,555
13417,470
13762,765
14020,345
14106,345
14279,310
14451,163
14624,515
14796,148
15141,148
15227,200
15313,285
15399,378
15485,463
15658,610
16003,690
16175,380
16520,790
16779,568
16865,568
17037,970
17382,735
17468,755
17555,775
17727,1045
17900,500
18244,350
18417,503
18589,745
18934,740
19279,320
19624,670
19796,335
19969,653
20313,870
20658,473
20831,663
21003,600
21176,503
21348,750
21520,453
21693,688
21865,623
22038,460
22210,788
22382,410
22555,690
22727,613
22900,338
22986,358
23072,378
23416,868
23588,765
23760,828
23933,1025
24019,1025
24105,1025
24278,1243
24450,1025
24536,938
24622,873
24708,838
24794,843
24967,673
25140,450
25312,235
25398,235
25484,235
25657,88
25829,303
25915,355
26001,375
26087,358
26174,303
26347,515
26519,738
26691,930
26778,930
26864,930
27036,1058
27209,865
27295,828
27381,818
27467,840
27553,888
27726,665
27898,438
28071,223
28157,223
28243,223
28416,38
28588,888
28933,888
29105,668
29278,445
29536,333
29622,333
29795,143
29967,213
30053,303
30139,390
30225,455
30312,480
30484,663
30657,275
30916,778
31002,778
31174,338
31347,643
31433,713
31519,760
31605,783
31691,778
31864,480
32036,1025
32295,518
32381,518
32553,1030
32726,830
32812,920
32898,1030
32984,1140
33071,1228
33243,818
33416,1030
33674,1030
33760,1030
33933,698
34105,1230
34450,468
34622,330
34795,658
34967,140
35053,140
35140,140
35312,438
35484,360
35657,658
35829,835
36002,1165
36174,620
36347,1075
36433,1075
36519,1075
36691,905
36864,980
36950,1108
37036,1223
37122,1280
37209,1255
37381,980
37553,675
37812,1255
37898,1255
38071,753
38243,630
38329,538
38415,445
38501,353
38588,260
38760,738
38933,260
39105,640
39191,640
39278,640
39450,1018
39622,1015
39969,1015
40313,428
40658,243
41003,523
41348,340
41693,328
42037,433
42210,368
42382,768
42555,880
42726,675
42813,678
42899,680
42985,683
43071,685
43158,688
43244,690
43330,693
43417,695
43503,698
43589,700
43675,703
43761,705
43848,708
43934,708
44020,705
44106,703
44796,28
44968,173
45140,28
45313,173
45486,598
46089,513
46175,513
46433,843
46519,843
46778,510
46865,510
47123,840
47209,840
47554,188
47727,185
47899,125
48244,1033
48330,1033
48502,870
48589,870
48761,1180
48933,1025
49020,1025
49192,840
49278,840
49451,1198
49623,505
49796,565
49965,268
50137,360
50313,65
50399,188
50485,313
50571,435
50657,560
51003,503
51261,658
51347,658
51520,313
51692,910
51865,953
52037,1193
52382,565
52727,1130
53071,645
53244,1050
53416,793
53761,638
53934,585
54106,515
54279,428
54451,785
54623,368
54796,848
54969,308
55141,903
55255,710
55370,650
55485,728
55600,870
55715,985
55830,1018
55945,975
56060,903
56175,845
56290,828
56405,838
56520,850
57209,408
57554,720
57899,728
58072,735
58244,483
58416,583
58589,225
58761,413
58934,110
59278,413
59451,195
59623,130
59796,753
59968,798
60054,798
60227,535
60313,535
60485,230
60658,400
60744,400
60916,665
61003,665
61175,565
61347,515
61433,520
61519,525
61605,530
61692,535
62037,838
62296,655
62382,655
62554,538
62727,358
62899,538
63072,220
63416,1060
63761,220
64106,898
64278,383
64451,1080
64796,1080
65026,1148
65141,1148
65370,583
65485,583
65715,650
65830,650
66060,373
66175,373
66347,278
66520,390
66692,643
66865,843
66951,910
67037,958
67123,978
67209,970
67382,643
67554,1060
67899,220
68244,570
68416,643
68503,643
68589,643
68934,640
71002,640
71088,640
71174,640
71260,640
71346,640
71433,640
71519,640
71605,640
71691,640
71777,640
71864,640
71950,640
72036,640
72122,640
72208,640
72294,640
72380,640
72467,640
72553,640
72639,640
72725,640
72811,640
72898,640
72984,640
73070,640
73156,640
73242,640
73329,640
73415,640
73501,640
73587,640
73673,640
73760,640
73846,640
73932,640
74018,640
74104,640
74191,640
74277,640
74363,640
74451,640
75485,883
75657,843
75830,1078
76347,1038
76864,1145
77037,998
77209,1105
77382,998
77554,958
77726,1185
77899,805
78416,845
78588,765
78761,958
78933,615
79106,805
79278,573
79451,415
79623,535
79795,765
79967,790
80140,615
80313,940
80657,685
81002,468
81261,765
81347,765
81864,833
82037,698
82382,1223
82726,630
82899,765
83071,503
83244,698
83416,725
83588,543
83761,938
83933,503
84106,1103
84278,873
84451,575
84623,368
84795,238
84968,143
85140,93
85313,68
85485,60
85830,1220
86002,1055
86175,1190
86519,690
86864,718
87037,510
87209,295
87382,145
87554,418
87726,415
87813,415
87899,415
88071,868
88244,325
88416,640
88588,640
88761,955
88933,325
89278,255
89623,393
89795,325
89968,630
90140,458
90313,565
90485,803
90658,393
90830,325
91002,868
91261,803
91347,803
91519,1070
91692,628
91951,515
92037,515
92209,870
92382,333
92640,245
92726,245
92899,628
93071,0
93416,753
93761,245
93933,95
94106,65
94278,153
94451,340
94623,565
94795,783
94968,938
95140,1005
95313,968
95485,840
95657,660
95830,465
96002,298
96175,198
96348,175
99279,368
99451,840
99537,840
99623,840
99796,913
99968,440
100141,640
100313,640
100659,640
100830,555
101002,938
101175,970
101348,395
101520,423
101607,400
101693,340
101865,65
102038,605
102210,980
102383,440
102554,1145
102727,770
102900,1115
102986,1190
103071,1240
103245,1278
103331,1233
103417,1158
103503,1050
103589,928
103761,568
103933,1105
104106,448
104364,735
104451,735
104623,470
104795,930
104881,1028
104967,1128
105140,350
105313,818
105485,738
105658,288
105744,363
105830,460
106002,638
106088,528
106174,453
106260,428
106346,458
106520,823
106692,293
106864,858
107037,795
107123,905
107209,985
107382,878
107468,765
107554,658
107640,565
107726,495
107899,138
108071,553
108244,78
108416,728
108589,1200
108761,640
108847,640
108933,640
109451,425
109623,850
109795,655
109969,618
110141,973
110313,270
110657,1025
111002,95
111117,423
111232,175
111347,388
111462,255
111577,353
111692,318
111778,308
111864,298
112037,143
112209,335
112381,525
112554,110
112640,55
112726,3
112899,563
112985,670
113071,780
113157,888
113244,998
113416,753
113588,805
113761,1133
113933,430
114019,503
114105,590
114278,285
114364,373
114450,485
114536,615
114623,745
114795,553
114968,385
115140,170
115313,208
115399,188
115485,170
115657,40
115743,153
